dataset,n_subjects,n_records,n_tasks,modality of exp,type of exp,Type Subject,duration_hours_total,size_bytes,size,source,dataset_title,record_modality,nchans_set,sampling_freqs,license,doi,nemar_citation_count
ds004752,15,136,1,,,,0.0,10984448479,10.2 GB,openneuro,"Dataset of intracranial EEG, scalp EEG and beamforming sources from epilepsy patients performing a verbal working memory task","eeg, ieeg","[{""val"": 64, ""count"": 34}, {""val"": 8, ""count"": 16}, {""val"": 20, ""count"": 15}, {""val"": 21, ""count"": 14}, {""val"": 19, ""count"": 10}, {""val"": 10, ""count"": 7}, {""val"": 46, ""count"": 6}, {""val"": 68, ""count"": 6}, {""val"": 36, ""count"": 6}, {""val"": 23, ""count"": 6}, {""val"": 62, ""count"": 4}, {""val"": 48, ""count"": 4}, {""val"": 32, ""count"": 3}, {""val"": 40, ""count"": 3}, {""val"": 80, ""count"": 2}]","[{""val"": 2000.0, ""count"": 40}, {""val"": 4000.0, ""count"": 40}, {""val"": 200.0, ""count"": 36}, {""val"": 4096.0, ""count"": 20}]",CC0,doi:10.18112/openneuro.ds004752.v1.0.1,4.0
ds004770,10,22,1,Visual,Memory,Epilepsy,0.0,9325612810,8.7 GB,openneuro,iEEG on children during gameplay,ieeg,"[{""val"": 128, ""count"": 14}, {""val"": 105, ""count"": 2}, {""val"": 112, ""count"": 2}, {""val"": 110, ""count"": 2}, {""val"": 113, ""count"": 2}]","[{""val"": 1000.0, ""count"": 22}]",CC0,doi:10.18112/openneuro.ds004770.v1.0.0,2.0
ds004771,61,61,1,,,,0.0,1462175616,1.4 GB,openneuro,EEG/ERP data from a Python Reading Task,eeg,"[{""val"": 34, ""count"": 61}]","[{""val"": 256.0, ""count"": 61}]",CC0,doi:10.18112/openneuro.ds004771.v1.0.0,1.0
ds004774,14,14,2,Unknown,Unknown,Unknown,0.0,26608945134,24.8 GB,openneuro,Automatic Evoked Response Detection (ER-Detect) dataset,ieeg,"[{""val"": 133, ""count"": 6}, {""val"": 68, ""count"": 2}, {""val"": 39, ""count"": 2}, {""val"": 130, ""count"": 1}, {""val"": 97, ""count"": 1}, {""val"": 89, ""count"": 1}, {""val"": 65, ""count"": 1}]","[{""val"": 2048.0, ""count"": 14}]",CC0,doi:10.18112/openneuro.ds004774.v1.0.0,
ds004784,1,6,6,,,,0.0,1084178641,1.0 GB,openneuro,"Phantom EEG Dataset with Motion, Muscle, and Eye Artifacts and Example Scripts",eeg,"[{""val"": 264, ""count"": 6}]","[{""val"": 512.0, ""count"": 6}]",CC0,doi:10.18112/openneuro.ds004784.v1.0.4,1.0
ds004785,17,17,1,,,,0.0,368223688,351.2 MB,openneuro,EEG data for paper titled - Precise cortical contributions to feedback sensorimotor control during reactive balance,eeg,"[{""val"": 32, ""count"": 17}]","[{""val"": 500.0, ""count"": 17}]",CC0,doi:10.18112/openneuro.ds004785.v1.0.1,1.0
ds004789,273,983,1,Visual,Memory,Unknown,0.0,618808962711,576.3 GB,openneuro,Delayed Free Recall of Word Lists,ieeg,"[{""val"": 126, ""count"": 87}, {""val"": 108, ""count"": 32}, {""val"": 112, ""count"": 32}, {""val"": 110, ""count"": 31}, {""val"": 88, ""count"": 29}, {""val"": 120, ""count"": 28}, {""val"": 128, ""count"": 28}, {""val"": 127, ""count"": 24}, {""val"": 116, ""count"": 22}, {""val"": 124, ""count"": 21}, {""val"": 196, ""count"": 20}, {""val"": 109, ""count"": 19}, {""val"": 111, ""count"": 18}, {""val"": 106, ""count"": 17}, {""val"": 100, ""count"": 17}, {""val"": 113, ""count"": 16}, {""val"": 125, ""count"": 15}, {""val"": 86, ""count"": 14}, {""val"": 107, ""count"": 13}, {""val"": 64, ""count"": 13}, {""val"": 60, ""count"": 13}, {""val"": 158, ""count"": 12}, {""val"": 118, ""count"": 12}, {""val"": 68, ""count"": 11}, {""val"": 104, ""count"": 11}, {""val"": 178, ""count"": 10}, {""val"": 76, ""count"": 10}, {""val"": 180, ""count"": 10}, {""val"": 122, ""count"": 10}, {""val"": 121, ""count"": 10}, {""val"": 102, ""count"": 9}, {""val"": 80, ""count"": 9}, {""val"": 142, ""count"": 9}, {""val"": 56, ""count"": 9}, {""val"": 153, ""count"": 8}, {""val"": 97, ""count"": 8}, {""val"": 140, ""count"": 8}, {""val"": 75, ""count"": 8}, {""val"": 188, ""count"": 7}, {""val"": 114, ""count"": 7}, {""val"": 62, ""count"": 7}, {""val"": 85, ""count"": 7}, {""val"": 146, ""count"": 7}, {""val"": 172, ""count"": 7}, {""val"": 130, ""count"": 7}, {""val"": 148, ""count"": 7}, {""val"": 90, ""count"": 7}, {""val"": 83, ""count"": 7}, {""val"": 92, ""count"": 6}, {""val"": 72, ""count"": 6}, {""val"": 162, ""count"": 6}, {""val"": 168, ""count"": 6}, {""val"": 139, ""count"": 6}, {""val"": 173, ""count"": 6}, {""val"": 70, ""count"": 6}, {""val"": 134, ""count"": 6}, {""val"": 78, ""count"": 6}, {""val"": 96, ""count"": 5}, {""val"": 74, ""count"": 5}, {""val"": 206, ""count"": 5}, {""val"": 93, ""count"": 5}, {""val"": 165, ""count"": 5}, {""val"": 141, ""count"": 5}, {""val"": 160, ""count"": 5}, {""val"": 84, ""count"": 4}, {""val"": 161, ""count"": 4}, {""val"": 203, ""count"": 4}, {""val"": 119, ""count"": 4}, {""val"": 136, ""count"": 4}, {""val"": 177, ""count"": 4}, {""val"": 224, ""count"": 4}, {""val"": 54, ""count"": 4}, {""val"": 200, ""count"": 4}, {""val"": 46, ""count"": 4}, {""val"": 123, ""count"": 4}, {""val"": 208, ""count"": 3}, {""val"": 186, ""count"": 3}, {""val"": 50, ""count"": 3}, {""val"": 176, ""count"": 3}, {""val"": 37, ""count"": 3}, {""val"": 212, ""count"": 3}, {""val"": 138, ""count"": 3}, {""val"": 59, ""count"": 3}, {""val"": 94, ""count"": 3}, {""val"": 99, ""count"": 3}, {""val"": 154, ""count"": 3}, {""val"": 103, ""count"": 3}, {""val"": 152, ""count"": 3}, {""val"": 166, ""count"": 3}, {""val"": 133, ""count"": 3}, {""val"": 69, ""count"": 3}, {""val"": 151, ""count"": 2}, {""val"": 170, ""count"": 2}, {""val"": 95, ""count"": 2}, {""val"": 58, ""count"": 2}, {""val"": 55, ""count"": 2}, {""val"": 184, ""count"": 2}, {""val"": 218, ""count"": 2}, {""val"": 213, ""count"": 2}, {""val"": 36, ""count"": 2}, {""val"": 156, ""count"": 2}, {""val"": 52, ""count"": 2}, {""val"": 67, ""count"": 2}, {""val"": 179, ""count"": 2}, {""val"": 87, ""count"": 2}, {""val"": 182, ""count"": 2}, {""val"": 105, ""count"": 2}, {""val"": 149, ""count"": 2}, {""val"": 43, ""count"": 2}, {""val"": 26, ""count"": 2}, {""val"": 77, ""count"": 1}, {""val"": 53, ""count"": 1}, {""val"": 101, ""count"": 1}, {""val"": 190, ""count"": 1}, {""val"": 16, ""count"": 1}, {""val"": 129, ""count"": 1}, {""val"": 98, ""count"": 1}, {""val"": 202, ""count"": 1}, {""val"": 14, ""count"": 1}, {""val"": 209, ""count"": 1}, {""val"": 216, ""count"": 1}, {""val"": 48, ""count"": 1}, {""val"": 195, ""count"": 1}, {""val"": 175, ""count"": 1}, {""val"": 229, ""count"": 1}, {""val"": 73, ""count"": 1}, {""val"": 65, ""count"": 1}, {""val"": 215, ""count"": 1}, {""val"": 131, ""count"": 1}, {""val"": 38, ""count"": 1}, {""val"": 63, ""count"": 1}]","[{""val"": 1000.0, ""count"": 785}, {""val"": 500.0, ""count"": 119}, {""val"": 1600.0, ""count"": 32}, {""val"": 999.0, ""count"": 19}, {""val"": 499.7071, ""count"": 16}, {""val"": 2000.0, ""count"": 6}, {""val"": 1024.0, ""count"": 4}, {""val"": 512.0, ""count"": 2}]",CC0,doi:10.18112/openneuro.ds004789.v3.1.0,3.0
ds004796,79,235,3,,,,0.0,257896989782,240.2 GB,openneuro,"A Polish Electroencephalography, Alzheimer’s Risk-genes, Lifestyle and Neuroimaging (PEARL-Neuro) Database",eeg,"[{""val"": 127, ""count"": 235}]","[{""val"": 1000.0, ""count"": 235}]",CC0,doi:10.18112/openneuro.ds004796.v1.1.0,1.0
ds004802,39,79,1,,,,0.0,10810016249,10.1 GB,openneuro,Pilot data for Loneliness in the Brain: Distinguishing Between Hypersensitivity and Hyperalertness,eeg,"[{""val"": 69, ""count"": 38}]","[{""val"": 512.0, ""count"": 27}, {""val"": 2048.0, ""count"": 11}]",CC0,doi:10.18112/openneuro.ds004802.v1.0.0,1.0
ds004809,252,889,1,Unknown,Unknown,Unknown,0.0,512365835522,477.2 GB,openneuro,Categorized Free Recall: Delayed Free Recall of Word Lists Organized by Semantic Categories,ieeg,"[{""val"": 126, ""count"": 70}, {""val"": 124, ""count"": 30}, {""val"": 108, ""count"": 26}, {""val"": 125, ""count"": 20}, {""val"": 128, ""count"": 19}, {""val"": 139, ""count"": 19}, {""val"": 88, ""count"": 17}, {""val"": 127, ""count"": 16}, {""val"": 120, ""count"": 16}, {""val"": 131, ""count"": 15}, {""val"": 145, ""count"": 15}, {""val"": 148, ""count"": 15}, {""val"": 116, ""count"": 15}, {""val"": 64, ""count"": 14}, {""val"": 196, ""count"": 14}, {""val"": 112, ""count"": 14}, {""val"": 110, ""count"": 13}, {""val"": 142, ""count"": 13}, {""val"": 179, ""count"": 13}, {""val"": 118, ""count"": 12}, {""val"": 155, ""count"": 12}, {""val"": 133, ""count"": 11}, {""val"": 114, ""count"": 11}, {""val"": 121, ""count"": 11}, {""val"": 251, ""count"": 11}, {""val"": 159, ""count"": 11}, {""val"": 90, ""count"": 11}, {""val"": 178, ""count"": 10}, {""val"": 113, ""count"": 10}, {""val"": 186, ""count"": 10}, {""val"": 94, ""count"": 10}, {""val"": 92, ""count"": 10}, {""val"": 158, ""count"": 9}, {""val"": 115, ""count"": 9}, {""val"": 105, ""count"": 9}, {""val"": 152, ""count"": 9}, {""val"": 198, ""count"": 9}, {""val"": 200, ""count"": 8}, {""val"": 183, ""count"": 8}, {""val"": 156, ""count"": 8}, {""val"": 247, ""count"": 8}, {""val"": 104, ""count"": 8}, {""val"": 106, ""count"": 7}, {""val"": 166, ""count"": 7}, {""val"": 122, ""count"": 7}, {""val"": 98, ""count"": 7}, {""val"": 68, ""count"": 7}, {""val"": 212, ""count"": 7}, {""val"": 240, ""count"": 6}, {""val"": 241, ""count"": 6}, {""val"": 100, ""count"": 6}, {""val"": 109, ""count"": 6}, {""val"": 76, ""count"": 6}, {""val"": 78, ""count"": 6}, {""val"": 184, ""count"": 6}, {""val"": 150, ""count"": 6}, {""val"": 154, ""count"": 5}, {""val"": 56, ""count"": 5}, {""val"": 208, ""count"": 5}, {""val"": 165, ""count"": 5}, {""val"": 168, ""count"": 5}, {""val"": 250, ""count"": 5}, {""val"": 224, ""count"": 4}, {""val"": 141, ""count"": 4}, {""val"": 189, ""count"": 4}, {""val"": 164, ""count"": 4}, {""val"": 192, ""count"": 4}, {""val"": 180, ""count"": 4}, {""val"": 97, ""count"": 4}, {""val"": 72, ""count"": 4}, {""val"": 70, ""count"": 4}, {""val"": 89, ""count"": 4}, {""val"": 238, ""count"": 4}, {""val"": 185, ""count"": 4}, {""val"": 173, ""count"": 4}, {""val"": 219, ""count"": 4}, {""val"": 175, ""count"": 4}, {""val"": 134, ""count"": 4}, {""val"": 188, ""count"": 4}, {""val"": 83, ""count"": 3}, {""val"": 160, ""count"": 3}, {""val"": 167, ""count"": 3}, {""val"": 140, ""count"": 3}, {""val"": 209, ""count"": 3}, {""val"": 95, ""count"": 3}, {""val"": 220, ""count"": 3}, {""val"": 130, ""count"": 3}, {""val"": 162, ""count"": 3}, {""val"": 46, ""count"": 3}, {""val"": 60, ""count"": 3}, {""val"": 229, ""count"": 3}, {""val"": 207, ""count"": 3}, {""val"": 123, ""count"": 2}, {""val"": 119, ""count"": 2}, {""val"": 169, ""count"": 2}, {""val"": 203, ""count"": 2}, {""val"": 161, ""count"": 2}, {""val"": 84, ""count"": 2}, {""val"": 177, ""count"": 2}, {""val"": 151, ""count"": 2}, {""val"": 172, ""count"": 2}, {""val"": 93, ""count"": 2}, {""val"": 53, ""count"": 2}, {""val"": 96, ""count"": 2}, {""val"": 132, ""count"": 2}, {""val"": 67, ""count"": 2}, {""val"": 176, ""count"": 2}, {""val"": 193, ""count"": 2}, {""val"": 187, ""count"": 2}, {""val"": 80, ""count"": 1}, {""val"": 146, ""count"": 1}, {""val"": 14, ""count"": 1}, {""val"": 136, ""count"": 1}, {""val"": 52, ""count"": 1}, {""val"": 16, ""count"": 1}, {""val"": 86, ""count"": 1}, {""val"": 239, ""count"": 1}, {""val"": 75, ""count"": 1}, {""val"": 182, ""count"": 1}, {""val"": 102, ""count"": 1}, {""val"": 85, ""count"": 1}, {""val"": 63, ""count"": 1}, {""val"": 206, ""count"": 1}, {""val"": 50, ""count"": 1}, {""val"": 213, ""count"": 1}, {""val"": 111, ""count"": 1}, {""val"": 99, ""count"": 1}, {""val"": 62, ""count"": 1}, {""val"": 37, ""count"": 1}, {""val"": 163, ""count"": 1}, {""val"": 243, ""count"": 1}, {""val"": 36, ""count"": 1}, {""val"": 107, ""count"": 1}, {""val"": 153, ""count"": 1}, {""val"": 143, ""count"": 1}, {""val"": 26, ""count"": 1}, {""val"": 202, ""count"": 1}, {""val"": 218, ""count"": 1}]","[{""val"": 1000.0, ""count"": 766}, {""val"": 500.0, ""count"": 93}, {""val"": 1600.0, ""count"": 10}, {""val"": 999.0, ""count"": 8}, {""val"": 1023.999, ""count"": 6}, {""val"": 1024.0, ""count"": 4}, {""val"": 499.7071, ""count"": 2}]",CC0,doi:10.18112/openneuro.ds004809.v2.2.0,1.0
